"ID (REG-[DOC]-[NNN])","Documento/Norma","Subtema (Matriz)","Artigo/Seção/Item","Página/Artigo Nº","Contexto","Texto Literal do Dispositivo","Marcador","Tipo","Criticidade","Aplica-se a","Status Revisão","Observações"
"REG-L12865-001","Lei nº 12.865/2013","B1","Art. 6º, III","6","Define credenciador como tipo de IP no marco legal","Art. 6º, III: credenciador - pessoa jurídica que, por meio de instrumento contratual, habilita recebedores para a aceitação de instrumento de pagamento","considera-se","Obrigação regulatória","Crítica","Credenciador","","Definição legal de credenciador — base para as obrigações aplicáveis"
"REG-L12865-002","Lei nº 12.865/2013","B1","Art. 7º","7","Princípios que os arranjos de pagamento e IPs devem observar","Os arranjos de pagamento e as instituições de pagamento observarão os seguintes princípios: I - interoperabilidade; II - solidez e eficiência dos arranjos de pagamento; III - transparência; IV - acesso aberto; V - não discriminação no acesso a competidores","observarão","Obrigação regulatória","Crítica","Ambos","","Princípios fundamentais — aplicável ao iFood Pago como credenciador e IP"
"REG-L12865-003","Lei nº 12.865/2013","B1","Art. 9º, IV-V","9","Competência do BCB para autorizar IPs e credenciadores","Art. 9º: Compete ao Banco Central do Brasil: IV - autorizar a constituição, o funcionamento, a transferência de controle e outros atos relativos às instituições de pagamento; V - autorizar constituição, funcionamento, transferência de controle societário e cancelamento de autorização","compete ao BCB autorizar","Obrigação regulatória","Crítica","Credenciador","","Credenciador deve obter autorização do BCB para funcionar — requisito de entrada"
"REG-L12865-004","Lei nº 12.865/2013","B1","Art. 10","10","Responsabilidade de IPs por atos de terceiros contratados","O Banco Central do Brasil poderá estabelecer requisitos para a terceirização de atividades conexas. O instituidor do arranjo de pagamento e a instituição de pagamento respondem administrativamente pela atuação dos terceiros que contratarem","respondem administrativamente","Obrigação regulatória","Alta","Credenciador","","Credenciador responde pelos terceiros contratados — responsabilidade por subcredenciadores"
"REG-L12865-005","Lei nº 12.865/2013","B1","Art. 11","11","Penalidades por infrações às normas de arranjos de pagamento","As infrações a esta Lei e às diretrizes e normas estabelecidas pelo CMN e pelo BCB sujeitam a instituição de pagamento, bem como seus administradores e os membros de seus órgãos estatutários ou contratuais, às penalidades previstas na legislação aplicável às instituições financeiras","sujeitam","Sanção","Crítica","Ambos","","Penalidades equiparadas às IFs — alta exposição regulatória para administradores"
"REG-L12865-006","Lei nº 12.865/2013","B6","Art. 12","12","Patrimônio separado dos recursos mantidos em contas de pagamento","Os recursos mantidos em contas de pagamento: I - constituem patrimônio separado, que não se confunde com o da instituição de pagamento; II - não respondem por nenhuma obrigação da instituição de pagamento; III - não compõem o ativo da instituição de pagamento para efeito de falência","constituem patrimônio separado","Obrigação regulatória","Crítica","Ambos","","Segregação de recursos dos usuários — obrigação estrutural de IP"
"REG-L12865-007","Lei nº 12.865/2013","B6","Art. 12-A","12-A","Recursos destinados à liquidação — patrimônio separado","Os recursos recebidos pelos participantes do arranjo de pagamento destinados à liquidação das transações de pagamento: I - não se comunicam com os demais bens e direitos do participante; II - só respondem pelo cumprimento de obrigações de liquidação","não se comunicam","Obrigação regulatória","Crítica","Credenciador","","Aplicável ao credenciador — recursos de liquidação devem ser segregados"
"REG-L12865-008","Lei nº 12.865/2013","B1","Art. 13","13","Sujeição das IPs ao regime especial de intervenção e liquidação","As instituições de pagamento sujeitam-se ao regime de administração especial temporária, à intervenção e à liquidação extrajudicial, nas condições e forma previstas na legislação aplicável às instituições financeiras","sujeitam-se","Obrigação regulatória","Alta","Ambos","","IPs sujeitas a intervenção e liquidação extrajudicial como IFs"
"REG-L12865-009","Lei nº 12.865/2013","B2","Art. 12-C","12-C","Bens e direitos alocados em garantia à liquidação — patrimônio separado","Os bens e os direitos alocados pelos instituidores e pelos participantes de arranjos de pagamento para garantir a liquidação das transações de pagamento: I - constituem patrimônio separado; II - não podem ser objeto de arresto, de sequestro ou de qualquer outro ato de constrição judicial","constituem patrimônio separado","Obrigação regulatória","Alta","Credenciador","","Garantias de liquidação — segregadas e indisponíveis para execução judicial"
"REG-Rbcb150-001","Resolução BCB nº 150/2021","B2","Art. 2º","2","Autorização específica na modalidade credenciador para funcionamento","As instituições de pagamento dependem de autorização do Banco Central do Brasil para funcionar, podendo ser autorizadas nas modalidades: emissor de moeda eletrônica, emissor pós-pago, credenciador e iniciador de transação de pagamento","dependem de autorização","Obrigação regulatória","Crítica","Credenciador","","Autorização BCB — modalidade credenciador é categoria específica com requisitos próprios"
"REG-Rbcb150-002","Resolução BCB nº 150/2021","B2","Art. 4º","4","Requisitos para instrução do pedido de autorização de IP","O pedido de autorização para funcionamento de instituição de pagamento deve ser instruído com: I - ato constitutivo; II - documentos dos administradores; III - plano de negócios; IV - estrutura de gerenciamento de riscos; V - mecanismos de prevenção à lavagem de dinheiro","deve ser instruído","Obrigação regulatória","Crítica","Credenciador","","Requisitos de instrução do pedido de autorização BCB — transição subcredenciador→credenciador"
"REG-Rbcb150-003","Resolução BCB nº 150/2021","B9","Art. 6º","6","Estrutura de governança compatível com porte e complexidade","As instituições de pagamento devem manter estrutura de governança compatível com a natureza, porte e complexidade das operações, incluindo conselho de administração ou órgão equivalente, auditoria interna e compliance","devem manter","Obrigação regulatória","Alta","Credenciador","","Governança corporativa formal — obrigação estrutural do credenciador"
"REG-Rbcb150-004","Resolução BCB nº 150/2021","B6","Art. 8º","8","Capital mínimo e PL compatíveis com perfil de risco","As instituições de pagamento devem manter capital mínimo e patrimônio líquido compatíveis com o perfil de risco das operações, conforme limites estabelecidos pelo Banco Central do Brasil","devem manter","Obrigação regulatória","Crítica","Credenciador","","PL mínimo — crítico para planejamento financeiro do iFood Pago SCD e IP"
"REG-Rbcb150-005","Resolução BCB nº 150/2021","B8","Art. 12","12","Remessa de informações e documentos ao BCB nas condições e prazos definidos","As instituições de pagamento devem remeter ao Banco Central do Brasil as informações e documentos nas condições, prazos e formatos por ele estabelecidos, incluindo operações, clientes, riscos e situação econômico-financeira","devem remeter","Obrigação regulatória","Alta","Credenciador","","Reporte regulatório — ver CADOC Doc. 6334 para credenciadores"
"REG-Rbcb150-006","Resolução BCB nº 150/2021","B7","Art. 14","14","Informações sobre recebíveis ao estabelecimento comercial","O credenciador deve fornecer ao estabelecimento comercial informações sobre os recebíveis originados das transações de pagamento, na forma e prazo estabelecidos pelo Banco Central do Brasil","deve fornecer","Obrigação regulatória","Alta","Credenciador","","Agenda de recebíveis — obrigação específica de credenciador"
"REG-Rbcb150-007","Resolução BCB nº 150/2021","B9","Art. 16","16","Gerenciamento de riscos operacionais e plano de continuidade","As instituições de pagamento devem implementar e manter estrutura de gerenciamento de risco operacional compatível com as atividades, incluindo planos de continuidade de negócios e gestão de incidentes","devem implementar e manter","Obrigação regulatória","Alta","Credenciador","","Gestão de risco operacional — estrutura formal obrigatória"
"REG-CBCB3682-001","Circular BCB nº 3.682/2013","B1","Art. 1º","1","Regulamentação de arranjos de pagamento no SPB","Esta Circular estabelece condições para que os arranjos de pagamento passem a integrar o Sistema de Pagamentos Brasileiro (SPB), nos termos da Lei nº 12.865, de 2013","estabelece condições","Obrigação regulatória","Alta","Credenciador","","Base regulamentar para credenciadores operarem no SPB"
"REG-CBCB3682-002","Circular BCB nº 3.682/2013","B2","Art. 2º","2","Registro obrigatório de arranjos de pagamento no BCB","Os arranjos de pagamento integrantes do SPB devem ser registrados no Banco Central do Brasil, mediante solicitação do instituidor, que deve apresentar regulamento do arranjo e demais informações exigidas","devem ser registrados","Obrigação regulatória","Alta","Credenciador","","Registro de arranjos de pagamento — credenciador deve aderir a arranjos registrados"
"REG-CBCB3682-003","Circular BCB nº 3.682/2013","B1","Art. 4º","4","Requisitos mínimos do regulamento do arranjo ao qual o credenciador adere","O regulamento do arranjo de pagamento deve conter: I - regras de participação; II - direitos e obrigações dos participantes; III - regras sobre tarifas; IV - mecanismos de segurança; V - regras de resolução de disputas","deve conter","Obrigação regulatória","Alta","Credenciador","⚠️ Verificar","Verificar regulamento do arranjo ao qual o iFood Pago adere — compliance com todas as regras"
