data_hora,ticket_jira,empresa,produto,modulos_aplicados,variaveis_preenchidas,campos_pendentes,score_confianca,decisao,advogado_revisor,status_final,feedback,log_agente1_path,log_agente2_path
2026-01-10T10:00:00,JURFIN-0001,Empresa A Ltda.,Saldo Natal,"01_cabecalho,12_saldo_natal,08_rodape_assinaturas",6,0,0.95,AUTONOMO,Maria Oliveira,sucesso,Aditamento gerado e enviado com sucesso ao Netlex,,
2026-01-15T14:30:00,JURFIN-0002,Empresa B S.A.,ISA,"01_cabecalho,10_isa,08_rodape_assinaturas",6,0,0.93,AUTONOMO,Maria Oliveira,aprovado,Revisado e aprovado sem alterações,,
2026-02-05T09:15:00,JURFIN-0003,Empresa C Ltda.,Prorrogação,"01_cabecalho,02_prorrogacao_vigencia,08_rodape_assinaturas",6,0,0.91,AUTONOMO,João Souza,sucesso,Documento enviado e assinado,,
2026-02-20T16:00:00,JURFIN-0004,Empresa D ME.,Aviso Prévio,"01_cabecalho,04_aviso_previo,08_rodape_assinaturas",6,0,0.92,AUTONOMO,Maria Oliveira,aprovado,Aprovado pelo advogado sem alterações,,
2026-03-01T11:00:00,JURFIN-0005,Empresa E Ltda.,Cessão,"01_cabecalho,05_cessao,08_rodape_assinaturas",6,0,0.90,REVISAO_HUMANA,João Souza,sucesso,Aprovado após ajuste de data,,
2026-07-08T21:01:16,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:01:16,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.9583,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:01:16,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.9286,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:01:16,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.9062,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:01:16,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8889,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:16,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.875,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:26,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8636,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:39,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8542,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:39,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8461,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:39,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8393,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:39,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8333,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:39,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8281,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:39,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8235,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:55,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8195,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:55,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8158,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:55,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8125,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:55,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8095,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:55,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8068,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:01:55,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8044,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:25:40,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8021,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:29:32,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,0.8,REVISAO_HUMANA,Maria Oliveira,dry_run,,,
2026-07-08T21:32:34,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:32:48,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:32:48,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:32:48,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:32:48,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:32:48,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:32:48,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T21:59:25,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-08T22:12:52,SWANCRG-157,Empresa Parceira Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Giovanna Batistutti,sucesso,,,
2026-07-11T22:53:55,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,,
2026-07-11T22:54:08,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_leitor_extrator.json,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_montador_validador.json
2026-07-11T22:55:30,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_leitor_extrator.json,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_montador_validador.json
2026-07-11T22:55:30,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_leitor_extrator.json,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_montador_validador.json
2026-07-11T22:56:45,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_leitor_extrator.json,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_montador_validador.json
2026-07-11T22:59:42,MOCK-001,Empresa Teste Ltda.,"01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa","01_cabecalho, 08_rodape_assinaturas, 09_clausula_geral, 10_isa",20,0,1.0,AUTONOMO,Maria Oliveira,dry_run,,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_leitor_extrator.json,/__modal/volumes/vo-CseTlgYbHINqa6Bjg7Wmj8/data/ifb-aditamentos/app/data/audit/agentes/MOCK-001_montador_validador.json
2026-07-12T15:54:57,SWANCRG-176,COFCO INTERNATIONAL BRASIL S.A.,ISA Semestral,10_isa,6,6,0.72,REVISAO_HUMANA,Sabrina Collela Rocha Oliveira,draft,Pipeline LLM executado — Decision Audit completo gerado — 6 campos pendentes,data/audit/agentes/SWANCRG-176_leitor_extrator.json,data/audit/agentes/SWANCRG-176_montador_validador.json
